scheme                       iters    keygen (cyc)  keygen (us)      sign (cyc)   sign (us)    verify (cyc)  verify (us)
------                       -----    ------------  -----------      ----------   ---------    ------------  ----------
MQOM2-L5-gf2-fast-r3            50         3062106      2044.8        16481012     11005.4        15908069     10622.7
MQOM2-L5-gf2-fast-r5            50         3086358      2061.1        15461743     10324.6        14973365      9998.6
MQOM2-L5-gf2-short-r3           50         4306377      2875.6        32092387     21430.5        27488948     18355.9
MQOM2-L5-gf2-short-r5           50         4592519      3066.9        31902825     21303.5        28059171     18736.6
MQOM2-L5-gf16-fast-r3           50          948564       633.4        10206226      6815.3         9560761      6384.3
MQOM2-L5-gf16-fast-r5           50         1099484       734.1        11342873      7574.3        10787052      7203.1
MQOM2-L5-gf16-short-r3          50          999167       667.2        26070925     17409.1        21755411     14527.3
MQOM2-L5-gf16-short-r5          50         1018196       679.9        25938813     17321.1        25213638     16836.5
MQOM2-L5-gf256-fast-r3          50          852569       569.3        12156001      8117.2         9780155      6530.8
MQOM2-L5-gf256-fast-r5          50          708790       473.3        10005525      6681.2         8800265      5876.4
MQOM2-L5-gf256-short-r3         50          828953       553.6        33645503     22467.1        27299645     18229.6
MQOM2-L5-gf256-short-r5         50          834314       557.2        26044941     17391.6        21309964     14229.8
SQIsign-I                       50        32015389     21378.5        71309295     47617.1         5203274      3474.5
SQIsign-III                     50        84326757     56309.7       190055802    126910.2        13119784      8760.8
SQIsign-V                       50       139949922     93451.7       332800922    222228.1        27305591     18233.3

